gameID,season,date,homeGoals,awayGoals,homeGoalsHalfTime,awayGoalsHalfTime
81,2015,2015-08-08 15:45:00,1,0,1,0
82,2015,2015-08-08 18:00:00,0,1,0,0
83,2015,2015-08-08 18:00:00,2,2,0,1
84,2015,2015-08-08 18:00:00,4,2,3,0
85,2015,2015-08-08 18:00:00,1,3,0,1
86,2015,2015-08-08 20:30:00,2,2,2,1
87,2015,2015-08-09 16:30:00,2,2,1,1
88,2015,2015-08-09 16:30:00,0,2,0,1
89,2015,2015-08-09 19:00:00,0,1,0,0
90,2015,2015-08-10 23:00:00,0,3,0,2
91,2015,2015-08-14 22:45:00,0,1,0,1
92,2015,2015-08-15 15:45:00,0,3,0,2
93,2015,2015-08-15 18:00:00,1,3,0,2
94,2015,2015-08-15 18:00:00,2,0,1,0
95,2015,2015-08-15 18:00:00,2,2,2,0
96,2015,2015-08-15 18:00:00,0,0,0,0
97,2015,2015-08-15 18:00:00,1,2,0,2
98,2015,2015-08-16 16:30:00,1,2,1,1
99,2015,2015-08-16 19:00:00,3,0,1,0
100,2015,2015-08-17 23:00:00,1,0,1,0
101,2015,2015-08-22 15:45:00,0,0,0,0
102,2015,2015-08-22 18:00:00,1,1,1,1
103,2015,2015-08-22 18:00:00,1,1,0,1
104,2015,2015-08-22 18:00:00,2,1,0,0
105,2015,2015-08-22 18:00:00,1,1,0,0
106,2015,2015-08-22 18:00:00,3,4,0,2
107,2015,2015-08-23 16:30:00,2,3,1,3
108,2015,2015-08-23 19:00:00,0,2,0,0
109,2015,2015-08-23 19:00:00,0,0,0,0
110,2015,2015-08-24 23:00:00,0,0,0,0
111,2015,2015-08-29 15:45:00,0,1,0,0
112,2015,2015-08-29 18:00:00,0,1,0,1
113,2015,2015-08-29 18:00:00,2,2,2,1
114,2015,2015-08-29 18:00:00,1,1,1,0
115,2015,2015-08-29 18:00:00,1,2,0,0
116,2015,2015-08-29 18:00:00,0,3,0,2
117,2015,2015-08-29 18:00:00,2,0,0,0
118,2015,2015-08-29 20:30:00,0,0,0,0
119,2015,2015-08-30 16:30:00,3,0,1,0
120,2015,2015-08-30 19:00:00,2,1,0,0
121,2015,2015-09-12 15:45:00,3,1,2,1
122,2015,2015-09-12 18:00:00,2,0,1,0
123,2015,2015-09-12 18:00:00,0,1,0,0
124,2015,2015-09-12 18:00:00,1,0,0,0
125,2015,2015-09-12 18:00:00,0,0,0,0
126,2015,2015-09-12 18:00:00,3,1,1,0
127,2015,2015-09-12 20:30:00,3,1,0,0
128,2015,2015-09-13 16:30:00,0,1,0,0
129,2015,2015-09-13 19:00:00,3,2,0,1
130,2015,2015-09-14 23:00:00,2,0,1,0
131,2015,2015-09-19 15:45:00,2,0,0,0
132,2015,2015-09-19 18:00:00,1,2,0,2
133,2015,2015-09-19 18:00:00,0,1,0,1
134,2015,2015-09-19 18:00:00,2,0,2,0
135,2015,2015-09-19 18:00:00,2,2,2,0
136,2015,2015-09-19 18:00:00,0,0,0,0
137,2015,2015-09-19 20:30:00,1,2,1,2
138,2015,2015-09-20 16:30:00,1,0,0,0
139,2015,2015-09-20 19:00:00,2,3,1,1
140,2015,2015-09-20 19:00:00,1,1,0,0
141,2015,2015-09-26 15:45:00,4,1,1,1
142,2015,2015-09-26 18:00:00,3,1,1,0
